stage,enum_value,callsite_line,function,thread,guard_type,guard_detail,overwrites_per_request,session_lifetime_fires,async_only,notes
STAGE_request_received,0,12508,stream_decode,HTTP handler,NONE,none,1 (correct),Every request,no,"Marks entry into stream_decode(), BEFORE prefill wait. NOT 'request received' — should be renamed D0 (decode submit) or split into R0+ D0."
STAGE_prompt_processing_start,1,NO_CALLSITE,N/A,N/A,ABSENT,none,0,0,N/A,Defined in enum but NEVER recorded. Intended for prefill start but never instrumented.
STAGE_llm_first_token,2,12803,stream_decode,HTTP handler,PER_REQUEST_LOCAL,llm_first_token_logged bool,1 (correct),Every request,no,"First LLM token from autoregressive decode. Guarded by local bool (correct). Recorded after llama_loop_with_hidden_and_token returns."
STAGE_speak_token,3,12815,stream_decode,HTTP handler,NONE,none,Unbounded (every SPEAK token),Every request,no,"NO GUARD. Fires on EVERY SPEAK token detection in stream_decode. This is LLM-level speak token, NOT TTS audio token. Can fire multiple times per request."
STAGE_talker_start,4,6515,generate_audio_tokens_local_simplex,TTS thread,ONCE_LIFETIME,load==0 check,1 (then broken),Only first request,N/A (inside TTS),"ONCE-GUARD BROKEN: fires on first chunk of first request, never again. No per-request reset. Thread lifecycle event, not per-request T3."
STAGE_talker_first_audio_token,5,6669,generate_audio_tokens_local_simplex / tts_thread_func_duplex,TTS thread,ONCE_LIFETIME,load==0 check,1 (then broken),Only first request,N/A (inside TTS),"First audio token from TTS model. ONCE-GUARD BROKEN for multi-request. Recorded in TTS thread after audio token sampling."
STAGE_talker_token_28,6,10744,t2w_thread_func_cpp,T2W thread,ONCE_LIFETIME,load==0 check,1 (then broken),Only first request,N/A (T2W thread),Token buffer reaches 28 tokens (WINDOW_SIZE). ONCE-GUARD BROKEN. In T2W thread, not Talker thread despite name.
STAGE_t2w_submit,7,6915,generate_audio_tokens_local_simplex / tts_thread_func_duplex,TTS thread,ONCE_LIFETIME,load==0 check,1 (then broken),Only first request,no,"T2WOut pushed to T2W queue. ONCE-GUARD BROKEN. Recorded in TTS thread. Also records PE_T2W_SUBMIT pipeline trace event."
STAGE_t2w_dequeue,8,10584,t2w_thread_func_cpp,T2W thread,ONCE_LIFETIME,load==0 check,1 (then broken),Only first request,N/A (T2W thread),T2W thread dequeues first T2WOut. ONCE-GUARD BROKEN. Also records dequeue_time via steady_clock.
STAGE_flow_start,9,NO_CALLSITE,N/A,N/A,SEPARATE_GLOBAL,N/A,0,N/A,N/A,"Uses global g_e2e_flow_start_ns (line 82) instead of e2e_stage.record(). Global is reset to 0 at line 12510 but NEVER written with actual timestamp. STUB — never instrumented."
STAGE_flow_end,10,NO_CALLSITE,N/A,N/A,SEPARATE_GLOBAL,N/A,0,N/A,N/A,Same as flow_start — global g_e2e_flow_end_ns defined but never written with actual timestamp.
STAGE_vocoder_start,11,NO_CALLSITE,N/A,N/A,SEPARATE_GLOBAL,N/A,0,N/A,N/A,Same pattern — global g_e2e_vocoder_start_ns defined but never written with actual timestamp.
STAGE_vocoder_end,12,NO_CALLSITE,N/A,N/A,SEPARATE_GLOBAL,N/A,0,N/A,N/A,Same pattern — global g_e2e_vocoder_end_ns defined but never written with actual timestamp.
STAGE_wav_ready,13,10834,t2w_thread_func_cpp,T2W thread,ONCE_LIFETIME,load==0 check,1 (then broken),Only first request,N/A (T2W thread),"First WAV file produced. ONCE-GUARD BROKEN. Also records PE_FIRST_AUDIO_READY pipeline trace event."
STAGE_client_first_audio,14,10841,t2w_thread_func_cpp,T2W thread,NONE,none,1 (only wav_idx==0),Every request,N/A (T2W thread),Guarded by wav_idx==0 condition (per-request correct). Records when first audio chunk is emitted to client.
STAGE_request_done,15,NO_CALLSITE,N/A,N/A,ABSENT,none,0,0,N/A,Defined in enum but NEVER recorded. Intended for request completion but never instrumented.
