event,canonical_id,enum_name,enum_value,file,function,line,thread,condition,before_operation,after_operation,max_writes_per_request,once_guard_type,generation_guard,criticality,notes
R0,0,STAGE_request_received,0,omni.cpp,stream_decode,12532,HTTP handler,none,stream_decode entry,diagnostic log,1,none (overwrites each request via reset),record_unsafe (synchronous — safe),required,"Marks entry into stream_decode(). BEFORE prefill wait. NOT 'decode submit'."
P0,—,MISSING,—,omni.cpp,stream_decode,12574,HTTP handler,none,need_speek=true,LLM cv.notify_all,N/A,NOT IMPLEMENTED,N/A,optional,LLM thread signaled to begin prefill. MISSING instrumentation.
P1,—,MISSING,—,omni.cpp,stream_decode,12579,HTTP handler,none,g_decode_cv.wait,decode loop begins,N/A,NOT IMPLEMENTED,N/A,optional,Pfill complete. g_decode_cv.wait returns. MISSING instrumentation.
D0,3,STAGE_decode_loop_begin,16,omni.cpp,stream_decode,12610,HTTP handler,none,prefill complete,decode for-loop entry,1,none (overwrites each request via reset),record_unsafe (synchronous — safe),required,"Decode loop begins. After prefill wait, before first llama_loop call. F6 T0 anchor."
D1,4,STAGE_llm_first_decode_step,17,omni.cpp,stream_decode,12784,HTTP handler,llm_first_decode_step_logged==false,llm_first_decode_step_logged=true,llama_loop_with_hidden_and_token call,1,local bool (per-request),record_unsafe (synchronous — safe),required,"First autoregressive decode step. Recorded before llama_loop_with_hidden_and_token."
D2,5,STAGE_llm_first_token,2,omni.cpp,stream_decode,12836,HTTP handler,llm_first_token_logged==false,llm_first_token_logged=true,llama_loop_with_hidden_and_token returns,1,local bool (per-request),record_unsafe (synchronous — safe),required,"First LLM token from autoregressive decode. Existing stage, correct."
D3,6,STAGE_speak_token,3,omni.cpp,stream_decode,12851,HTTP handler,token_type==SPEAK && llm_first_speak_token_logged==false,llm_first_speak_token_logged=true,token type detection,1,local bool (per-request, S9 added),record_unsafe (synchronous — safe),required for TTS,"First LLM token with type==SPEAK. Optional for text-only requests. S9 added once-guard."
G0,7,STAGE_tts_wake,18,omni.cpp,"tts_thread_func_duplex (line 7796), tts_thread_func (line 8496)",TTS thread,timestamps_ns[G0]==0,cv.wait return,queue processing,1,load==0 + reset() + generation_id,record(stage, tts_thread_generation),required for TTS,"TTS thread wakes from cv.wait. Instrumented in both duplex and simplex paths."
G1,8,STAGE_talker_start,4,omni.cpp,generate_audio_tokens_local_simplex,6520,TTS thread,timestamps_ns[G1]==0 && chunk_idx==0,first chunk processing,first llama_decode for TTS,1,load==0 + reset() + generation_id,record(stage, tts_thread_generation),required for TTS,"Talker starts processing first text chunk. Existing stage renamed in V3."
G2,9,STAGE_tts_first_decode,19,omni.cpp,prefill_with_emb_tts,3389,TTS thread,timestamps_ns[G2]==0,llama_set_embeddings,first TTS llama_decode call,1,load==0 + reset() + generation_id,record(stage, tts_thread_generation),required for TTS,"First TTS model forward pass. New stage added in S9."
G3,10,STAGE_talker_first_audio_token,5,omni.cpp,generate_audio_tokens_local_simplex / tts_thread_func_duplex,6674,TTS thread,timestamps_ns[G3]==0,audio token sampling,output_audio_tokens.push_back,1,load==0 + reset() + generation_id,record(stage, tts_thread_generation),required for TTS,"First audio token sampled from TTS model output."
G4,11,STAGE_talker_token_28,6,omni.cpp,t2w_thread_func_cpp,10766,T2W thread,timestamps_ns[G4]==0 && token_buffer.size()>=28,buffer accumulation,feed_window processing,1,load==0 + reset() + generation_id,record(stage, t2w_thread_generation),required for TTS,"Audio token buffer reaches WINDOW_SIZE (28). Recorded in T2W thread (not Talker)."
G5,12,STAGE_t2w_submit,7,omni.cpp,generate_audio_tokens_local_simplex / tts_thread_func_duplex,6920,TTS thread,timestamps_ns[G5]==0 && buffer>=FIRST_CHUNK_SIZE,T2WOut created + queue.push,cv.notify_one for T2W,1,load==0 + reset() + generation_id,record(stage, tts_thread_generation),required for TTS,"T2WOut pushed to T2W queue. Recorded in TTS thread."
Q0,13,STAGE_t2w_dequeue,8,omni.cpp,t2w_thread_func_cpp,10606,T2W thread,timestamps_ns[Q0]==0,cv.wait return (queue non-empty),queue.front() processing,1,load==0 + reset() + generation_id,record(stage, t2w_thread_generation),required for TTS,"T2W thread dequeues first T2WOut from queue."
W0,14,STAGE_wav_ready,13,omni.cpp,t2w_thread_func_cpp,10856,T2W thread,timestamps_ns[W0]==0 && feed_window returns true,Flow+Voder complete,audio callback invoked,1,load==0 + reset() + generation_id,record(stage, t2w_thread_generation),required for TTS,"First WAV chunk produced. Flow Matching + Vocoder HiFiGAN complete."
W1,15,STAGE_client_first_audio,14,omni.cpp,t2w_thread_func_cpp,10863,T2W thread,wav_idx==0,first WAV produced,WAV emitted to client,1,wav_idx==0 (per-request correct),record(stage, t2w_thread_generation),required for TTS,"First audio chunk emitted to client. Most downstream event."

# Notes
# - P0/P1 are MISSING — not yet implemented. Listed for completeness but absent from profiles.
# - Dead enum values (STAGE_prompt_processing_start, STAGE_flow_start/end, STAGE_vocoder_start/end, STAGE_request_done) are excluded from the canonical 16.
# - All worker-thread callsites now use generation-safe record(stage, thread_generation).
# - All HTTP-handler callsites use record_unsafe (safe because stream_decode is synchronous).
# - The once-guard fast-path (load==0 check) is advisory; the authoritative guard is the generation_id check in record().
